gene_name	introns	transcripts	proteins
CG11247	9	73	5
CG11249	1	1	1
CG11248	5	8	2
Aats-ala	3	4	2
ecd	1	1	1
eca	1	1	1
Lis-1	12	10	1
eco	4	5	2
Cp15	1	1	1
snk	6	4	2
Gr65a	1	1	1
ect	10	13	4
CG32457	1	2	2
CG8368	5	8	2
CG8366	3	2	2
glob3	2	1	1
CG8360	4	4	2
glob1	11	13	2
Ets96B	9	4	4
Mgn691	0	2	0
Etl1	7	1	1
RhoGAP92B	10	10	5
CG31245	3	6	3
PP2A-B	24	63	15
CG1738	0	1	1
SPoCk	20	168	7
Ir40a	6	1	1
Rab5	12	61	1
CR42195	1	6	0
Vti1	1	1	1
noncoding_20012	1	1	0
CG3239	3	5	3
Mgn697	1	2	0
CG1360	3	1	1
CG43193	1	1	1
ACXD	12	3	3
ACXE	12	2	2
acj6	14	18	16
ACXA	18	8	8
ACXB	11	1	1
ACXC	11	3	3
Unc-76	5	11	2
CG30043	10	1	1
CG4701	0	1	1
barr	5	7	2
CG30046	6	2	2
CG30047	11	1	1
CG4705	6	2	2
CG4704	4	19	7
CG8100	1	1	1
CG30048	6	4	4
CG30049	13	3	3
Bin1	2	2	2
Nup75	5	2	1
LamC	5	4	3
CG32595	1	1	1
Lim3	11	10	5
Lim1	8	8	2
wrapper	4	1	1
snoRNA:Dek-a	0	1	0
CR43465	0	1	0
CR43464	4	1	1
CR43467	0	1	1
CR43466	1	1	0
CR43461	1	3	0
CR43460	2	3	0
CR43463	1	2	1
CG13618	3	1	1
CG31248	3	5	2
CR43469	2	2	1
CR43468	1	2	1
TMS1	13	9	9
CR44114	1	1	1
CR44115	0	1	0
CG34299	3	5	3
stck	9	10	3
CR44110	1	1	0
Sfp51E	1	1	1
CR44112	0	1	0
CR44113	0	1	0
Mgn99967	0	2	0
CG34292	2	3	3
CG43143	21	248	21
CG34290	6	2	2
CG43145	1	2	1
CG43144	2	3	2
CG43147	2	2	1
CG43146	2	3	1
cyc	5	3	3
R	1	24	1
Mgn99971	0	1	0
Syt12	6	7	1
CG2469	5	1	1
Rev1	6	2	1
MED26	7	6	5
CG4957	3	2	2
CG9581	2	2	2
ben	9	16	1
bel	5	13	3
Mgn99917	0	1	0
CG17030	0	1	1
CG17032	1	4	1
beg	0	2	2
CG17036	1	2	1
eIF3-S10	4	7	3
CG32369	6	7	2
ss	11	10	4
Mgn99972	0	1	0
snoRNA:Psi18S-920	0	1	0
sr	7	7	5
Sr-CIII	2	1	1
smid	12	7	5
chr3L_11591043_11591963.0	0	1	1
fig	1	2	1
CG14476	6	4	1
Rya-r44F	39	640	185
CG15370	0	2	2
CR43640	1	1	1
NijA	5	4	4
arg	4	2	1
CG7206	3	5	4
CcapR	8	3	3
CG14331	5	2	2
Spat	2	1	1
CR43644	0	1	1
D12	1	1	1
CG15373	12	3	3
CG9236	5	3	3
CG32450	2	2	1
l(2)05714	5	8	2
CG31016	6	1	1
CG4476	5	2	1
MED10	2	2	2
Cyp6a15Psi	1	1	1
MED14	9	3	3
MED15	6	1	1
MED16	0	2	1
MED17	2	1	1
MED18	3	4	4
MED19	2	2	1
eIF4E-3	6	4	2
eIF4E-5	2	1	1
lectin-29Ca	0	1	1
eIF4E-7	1	1	1
eIF4E-6	3	3	1
pyx	10	3	3
Mgn99836	0	1	0
Jhedup	6	2	2
Acyp2	3	2	1
CG14101	0	1	1
CG14100	1	2	1
pyr	4	1	1
CG14102	3	3	3
CG14105	2	1	1
CG14104	0	5	2
CG14107	1	2	1
CG14106	0	1	1
awd	2	3	3
pyd	41	224	27
Ogg1	3	1	1
CG15375	3	1	1
CG11885	0	2	1
CG11883	11	4	4
CG11882	2	2	2
mei-W68	2	1	1
CR41618	0	4	0
CG6006	14	25	3
uri	3	3	3
Mgn00429	3	3	0
CG15199	1	1	1
CG34125	1	1	1
CG34124	10	1	1
CG34127	12	2	1
CG34126	22	10	10
Mgn095218	0	1	0
Mgn095219	0	1	0
Rapgap1	13	24	10
Mgn095214	0	1	0
Mgn095215	0	1	0
Mgn095216	0	1	0
Mgn095217	0	1	1
CG43729	36	1428	58
Mgn095211	0	1	0
Mgn095212	0	1	0
Mgn095213	0	1	0
CG32350	0	1	1
CG42455	3	5	2
CG42456	1	2	2
CG32354	6	14	1
Smox	4	26	1
CG32368	0	2	1
CG42458	8	3	3
CG15198	0	1	1
CG2701	4	1	1
Mgn162	0	1	0
CG5746	10	39	6
Actn	19	77	11
mir-283	0	1	0
CG2709	1	2	2
Psi	11	110	4
Psn	12	6	3
PpN58A	0	1	1
Psc	4	5	2
Psa	17	17	3
Mgn99833	1	2	0
Pld	19	16	5
DnaJ-H	5	6	3
rasp	0	1	1
msd1	1	1	1
mir-285	0	1	0
CG31013	6	2	2
CG15506	3	8	2
RhoGAP15B	9	12	3
CG18823	0	1	1
mge	5	12	5
Mat1	0	2	2
CG33061	3	3	3
Gbs-76A	4	6	1
CG33060	0	1	1
MYPT-75D	14	13	3
CG11474	5	5	3
CG11475	0	1	1
CheA46a	1	1	1
Mgn3648	0	1	1
CG31010	2	2	1
RpS28b	1	2	1
tRNA:CR30333	0	1	0
ttk	10	146	5
CG31955	3	7	2
CG31954	1	1	1
CG31952	1	2	1
Mgn635	1	6	1
dpp	6	12	2
Buffy	4	1	1
CG31959	4	1	1
CG31958	0	1	1
U3-55K	4	1	1
sha	13	3	3
Mal-A8	3	1	1
tth	2	2	2
CG4282	3	2	1
woc	16	16	7
dpa	6	1	1
shg	1	11	2
Mal-A2	2	2	1
Mal-A3	3	1	1
Mal-A1	2	3	2
Mal-A6	2	1	1
Mal-A7	2	2	1
Mal-A4	4	1	1
Mal-A5	6	7	7
CG7484	2	1	1
CG15760	6	1	1
Rac2	0	3	1
CG15767	0	1	1
CG15764	0	1	1
Rac1	0	3	1
CG11505	12	10	4
CG15695	2	4	1
Mgn095227	0	1	0
Mys45A	2	3	2
FucTC	1	3	2
CG33552	1	3	1
CG33557	2	1	1
CG33003	3	2	2
Nmt	1	1	1
CG32043	7	10	3
CG9775	6	20	4
CG43778	5	5	5
CG9777	1	1	1
CG9776	12	9	8
CG6024	9	14	3
Mgn99837	0	1	0
CG43779	0	1	1
CG6020	4	2	1
CG6023	5	2	2
CG43776	9	1	1
CG3032	0	2	1
CG3033	2	2	1
CG3036	8	5	3
CG31673	5	6	4
CG3038	3	4	4
CG17834	13	19	4
Tret1-2	4	2	2
CG34174	2	1	1
Tret1-1	8	7	4
ken	5	5	2
kel	5	3	3
CG11131	1	2	1
CG7739	1	3	1
Lap1	7	5	2
CG34172	2	2	1
CG7735	5	4	4
magu	13	7	2
CG43773	0	1	1
Mgn163	0	1	0
CG11581	0	1	1
Cyp4aa1	4	2	2
CG31674	6	5	1
key	6	6	4
CG31675	2	5	1
wapl	8	8	2
CR43698	0	1	0
CR43699	0	1	0
Sh3beta	12	18	7
CG6280	4	1	1
CG6282	10	6	3
CG6283	1	1	1
CR43696	0	4	0
CR43697	0	1	0
CG6287	6	2	1
CG10307	2	3	1
CG10306	1	1	1
CG13902	2	3	2
Amun	12	144	1
CG13905	0	1	1
CG10301	2	1	1
CG13907	0	18	6
CG13908	2	2	2
Npc2c	2	1	1
Tre1	7	2	1
Npc2a	0	1	1
Npc2f	3	2	1
Npc2g	0	1	1
Npc2d	1	1	1
snoRNA:Psi28S-2648	0	1	0
chr2L_11588552_11589174.0	0	1	0
CG10909	0	1	1
CG17625	0	1	1
CG10904	1	2	1
Marcal1	6	1	1
Lon	9	2	2
CG10903	4	2	1
CG15861	4	5	1
CG12231	0	1	1
CG9194	5	2	2
Rpt3R	2	2	1
RhoGAP71E	17	121	13
aur	2	1	1
CG9192	0	1	1
CG12239	1	5	3
Taspase1	2	4	2
4EHP	7	25	6
RAF2	10	5	2
shakB	19	7	6
chr2R_13584824_13585247.0	0	1	0
dally	8	4	1
Cyp9f3Psi	2	2	1
CG5399	3	5	3
CG5398	3	2	2
CG5397	1	3	3
tbce	6	6	2
CG17121	7	4	4
CG5391	1	1	1
CG5390	5	3	1
CG18335	1	1	1
CG11340	1	3	2
grp	10	8	3
SdhA	6	9	1
CG15212	1	1	1
SdhC	3	3	3
SdhB	3	2	2
CG1882	4	4	2
CG15213	1	2	1
mRpL36	1	2	2
mRpL37	3	1	1
mRpL34	1	1	1
otk	8	3	3
mRpL32	2	1	1
mRpL33	2	1	1
mRpL30	1	1	1
CG8607	2	1	1
CG11426	2	3	1
Srp14	3	3	2
tRNA:CR32200	0	1	0
mRpL38	4	1	1
CG17486	1	2	2
Che-13	2	3	2
CG17109	3	1	1
snoRNA:Psi28S-1192a	0	1	0
otp	10	16	8
tRNA:CR31497	0	1	0
CG9997	1	3	1
CG9996	3	1	1
Mgn961	0	1	0
CG9993	3	1	1
CG9992	7	8	2
And	0	2	1
pix	4	2	1
LRP1	26	4	3
CG14057	2	3	2
CG5641	2	1	1
Mgn967	0	1	0
CR40100	1	1	1
Hr46	15	47	12
CG5644	2	1	1
Mgn966	0	1	1
CG3819	1	1	1
Fhos	27	79	22
CG13376	2	2	2
CG1773	3	3	3
sar1	11	13	2
CG1774	3	6	1
mAcR-60C	6	4	2
Scgalpha	5	7	3
wkd	3	2	1
ind	0	2	2
TppII	14	6	4
CG5708	8	5	1
CG5704	1	3	2
CG5705	0	1	1
CG5706	4	1	1
CG5707	3	2	2
HtrA2	2	4	1
ND23	3	2	2
S-Lap4	0	1	1
CG15864	7	2	2
CG13018	1	2	1
CG13016	3	2	1
pit	5	4	2
chr2R_8121536_8122157.0	1	1	0
CG34351	5	1	1
CG34356	24	6	3
CG34357	17	5	3
tRNA:Y1:85Ae	1	2	0
CG34355	15	6	4
CG8117	0	1	1
CG15888	1	1	1
BEAF-32	4	12	4
CG34199	1	1	1
piwi	9	4	3
Phk-3	2	2	1
Trp1	8	14	5
CG15887	1	1	1
CG31195	6	2	1
kkv	13	4	3
Snmp1	6	1	1
CG11345	2	2	2
CG13333	0	1	1
CG13332	0	1	1
CG13331	2	3	3
CG13330	1	1	1
CG13337	0	1	1
CG13334	1	5	1
Vm32E	0	1	1
Os-E	2	1	1
CG13339	1	2	1
CR40571	0	1	0
CR43612	2	8	0
Asator	24	286	27
CR40574	0	1	0
MBD-like	4	9	4
CG4116	0	2	2
zye	4	2	2
Cyp4ae1	3	2	1
Cpr51A	2	3	2
Cp7Fb	2	2	2
CG8642	1	2	2
CG8641	5	2	1
CG8646	6	1	1
Cp7Fa	4	2	2
mei-S332	2	4	1
Acp53C14a	1	2	2
Acp53C14c	3	3	1
Acp53C14b	1	1	1
Mgn94091	1	1	0
CR31386	4	1	1
etaTry	0	1	1
obst-B	5	1	1
obst-A	4	6	2
CG31728	4	2	1
CR43907	1	3	1
obst-E	2	2	2
CG31099	2	1	1
CG13484	0	1	1
obst-I	0	1	1
obst-H	1	1	1
CG31720	8	7	3
CG31093	1	1	1
CG13482	0	1	1
CG1986	3	1	1
CG4078	7	3	2
CG4074	2	3	2
CG4073	3	5	3
CG18493	4	1	1
Cpr11B	3	2	2
CG14050	1	1	1
morgue	1	1	1
scaRNA:mgU4-65	0	1	0
Bx	6	7	3
Mgn3455	1	10	0
CG1983	5	1	1
CG31897	0	2	2
CG13751	0	1	1
CG11349	1	1	1
CG31898	0	1	1
CG31548	0	1	1
CG31549	0	2	1
CG14590	1	3	2
CG14591	6	3	1
Cyp6t1	0	3	2
Cyp6t3	1	1	1
CG10361	3	3	2
CG31542	2	2	2
CG32811	0	2	1
CG31544	2	1	1
spt4	2	2	1
CadN	30	69	12
CG31547	12	26	7
CG10680	6	2	2
CG10681	3	2	1
Ef1alpha100E	6	11	2
lost	6	5	2
scaRNA:mgU2-25	0	1	0
CG10688	0	1	1
Galpha49B	26	771	21
e(y)2	0	1	1
alpha-Spec	8	3	2
chr2R_4430302_4431086.0	0	1	0
CG12825	3	1	1
CG12826	1	1	1
Mlc1	9	21	6
CG18109	1	1	1
CG12821	6	3	2
CG12822	3	2	2
CG18107	1	1	1
Mgn4378	1	4	0
CG12828	1	1	1
Mgn938	0	1	0
CG10862	3	2	2
fs(1)N	9	7	7
AT12039	0	1	1
CG2209	0	1	1
Mgn932	2	2	0
NT5E-2	5	1	1
Mgn934	1	2	0
Mgn936	0	1	0
Mgn937	1	1	0
HIP	3	13	2
shep	23	551	73
CG14377	0	1	1
CG14374	0	1	1
CG14372	17	3	2
chr2R_11200670_11201286.0	0	1	0
CS-2	12	5	4
Nup133	7	1	1
Zpr1	1	2	2
CG33766	1	1	1
CG33767	1	1	1
CG33764	3	1	1
Mgn4199	0	2	0
CG41434	2	2	2
Mgn4197	0	2	1
CG7251	2	2	2
CG7252	1	1	1
CG7255	13	16	2
CG33768	1	1	1
snoRNA:U49:66Da	0	1	0
GluClalpha	27	4945	188
CG9698	8	1	1
SNF4Agamma	45	353	18
CG9692	2	2	2
CG9691	1	2	1
CG9344	1	2	1
CG12499	1	1	1
CG9346	11	1	1
CG32017	14	26	2
CG32016	31	277	27
CG42867	2	3	1
CG42866	1	2	1
CG42863	17	3	1
CG9312	5	3	3
CG18549	3	6	1
robl37BC	0	1	1
CG42868	1	2	1
CG6153	2	4	4
CG2046	3	2	2
CG7031	2	2	2
CG14215	7	2	2
CG7033	4	2	2
CG9317	7	2	2
CG12975	4	3	2
CR18217	3	1	1
CG9316	4	3	2
CG33490	3	2	2
swa	3	2	1
CG33493	2	6	3
CG33494	2	4	1
amx	0	1	1
CG33498	2	1	1
CG9642	3	2	2
CR43944	0	1	1
Mgn095154	0	1	0
Mgn00455	1	1	0
CR33318	1	1	1
f-cup	22	18	13
CG5098	8	23	7
Mgn00450	2	2	0
Mgn00453	3	2	0
CG5096	5	1	1
Mgn00459	1	1	0
Mgn00458	1	1	0
CG8300	1	3	2
CG1968	3	4	3
CG1969	8	17	8
CG7927	7	6	3
Mlf	19	685	21
B4	10	35	3
CG7924	2	2	2
pb	11	6	5
jing	15	9	5
nimC3	0	4	3
CG12299	1	4	3
nimC4	0	1	1
CG15336	0	1	1
Cyp313a5	6	1	1
spheroide	1	1	1
FoxP	8	6	5
CG11221	1	3	1
CG8010	3	3	2
CG11227	4	7	4
CG11226	0	1	1
CG16947	6	4	3
CG4619	1	3	1
mgl	16	3	3
Gclm	0	4	1
CG8343	0	1	1
CG16941	6	1	1
BBS8	4	7	3
Gclc	8	6	1
CG8349	1	1	1
CG9468	5	2	2
CG33514	1	1	1
hk	6	1	1
Gr85a	1	1	1
SsRbeta	2	2	1
tRNA:CR31491	0	1	0
eap	0	1	1
eas	19	27	8
ear	2	6	3
tRNA:CR31494	0	1	0
hd	3	4	2
Spn43Ab	4	4	4
Spn43Aa	5	4	4
noncoding_10075	2	1	1
Spn43Ad	3	3	3
CG15330	0	1	1
CG32718	5	3	3
CG18171	0	1	1
CG12637	0	1	1
CG6613	5	1	1
CG9525	1	2	2
CG6347	2	1	1
CG9527	8	6	4
dmt	2	1	1
CG9521	0	1	1
CG9522	2	2	2
CG6614	7	3	3
CG5339	3	2	2
CG6619	2	3	1
CG4613	3	2	2
ldlCp	3	2	1
CG8121	9	5	1
CG1344	2	6	1
CG1347	10	15	2
CG4615	6	5	3
CG8129	5	2	2
CG8128	4	6	2
CR32745	1	1	1
Gint3	5	2	1
Mgn4158	0	3	0
Or85c	2	1	1
Pk1r	3	5	1
snoRNA:CG43051-a	0	1	1
Nup50	2	3	1
AQP	4	3	2
CG40160	11	16	3
Nup54	4	7	5
Nup58	1	1	1
Vang	2	5	2
CR43488	2	6	0
CR43487	0	2	0
chr2R_16038129_16038498.0	0	1	0
CR43485	0	1	0
CR43484	1	2	0
Roc1b	0	1	1
CR43482	0	1	0
CR43481	8	106	3
CR44047	2	2	1
Mgn99945	0	1	0
Mgn99944	0	1	0
Mgn99947	0	1	0
Mgn99946	0	2	1
Mgn99941	0	2	0
Mgn99940	0	2	0
Mgn99943	0	2	1
Mgn99942	0	1	0
CR44136	0	1	0
CR44137	2	1	1
CG9782	2	3	1
Mgn99949	0	1	0
Mgn99948	0	1	0
CR44130	0	1	0
CG17544	9	20	3
Gdh	8	7	5
CG17010	2	2	2
CG3281	1	2	2
stan	8	8	4
CG6330	7	4	4
CG17018	13	5	3
CG17019	4	1	1
CG17549	8	5	2
stai	10	19	6
CG9836	5	7	1
CG9837	2	2	2
sphinx	2	3	0
Jra	3	5	3
CG40298	1	4	3
CG6333	2	2	1
CG9839	1	1	1
CG41503	2	2	1
CG1532	3	1	1
Mgn3980	0	2	0
snoRNA:U31:54Ec	0	1	0
CG1826	3	4	1
Mgn99838	0	1	0
CG1537	2	2	1
CR43987	0	1	0
Tom7	1	2	1
CG32633	1	2	1
Gyc-89Da	2	2	1
Der-2	2	2	1
Der-1	5	6	2
Gyc-89Db	1	2	1
Ranbp11	1	1	1
Bre1	4	10	2
CR17438	0	1	1
Su(P)	2	1	1
aub	13	10	3
CG1552	3	2	2
Ocrl	8	3	2
Pkd2	9	3	1
Mgn62	0	6	1
CG43123	1	1	1
CG43237	1	2	1
Mgn1713	1	1	0
CG43120	2	1	1
CG43127	4	2	2
CG43125	2	1	1
CG34388	3	2	2
aux	13	16	8
CG43129	6	5	2
CG43235	2	2	1
Amph	19	103	11
Mgn99832	0	1	0
CG42296	1	1	1
Mgn99835	1	1	0
Muc26B	1	1	1
noncoding_6785	1	1	0
Mgn99834	0	1	1
ATPsyn-b	2	2	2
CG34431	0	2	2
CG34430	2	1	1
Mgn00332	1	1	0
Mgn00333	1	1	1
Mgn00334	1	1	0
Mgn00335	3	4	0
Mgn00336	1	1	1
Mgn00337	1	1	0
CG3356	7	2	1
CSN4	4	4	1
Cad88C	9	1	1
CSN6	1	1	1
CSN7	4	2	1
CSN3	9	4	3
CSN8	5	4	3
CG3609	4	3	1
CG32379	1	1	1
Aven	1	1	1
Cog3	7	1	1
CG32373	9	2	1
Ilp1	0	1	1
CG32371	0	1	1
tipE	7	12	1
dre4	9	3	3
CG42470	1	3	1
CG42471	2	2	1
snoRNA:Me28S-G3081a	0	1	0
Esyt2	13	5	5
ATPsyn-gamma	2	3	1
chr3R_10352864_10353705.0	1	1	0
tRNA:CR32370	0	1	0
neo	7	1	1
nej	18	153	4
neb	1	2	2
nec	2	1	1
btsz	19	14	13
CG14160	4	3	2
Pcd	2	2	2
CG14164	4	2	1
net	1	6	3
CG14168	9	4	4
nes	8	8	2
snoRNA:Me18S-A1374	0	1	0
CG15561	0	1	1
CG18666	0	1	1
Prx5	3	2	1
CG15564	5	1	1
CG18661	2	4	3
CG18662	3	2	2
noncoding_17161	2	1	1
Ubpy	8	5	3
Snm1	2	3	2
Ufd1-like	2	3	2
CG11412	3	8	4
CG11413	0	1	1
CG11414	6	2	1
Pole2	1	3	3
CG11417	0	1	1
CG11418	4	3	2
chr3R_3545669_3546916.0	1	1	0
mey	6	3	1
tRNA:CR30316	0	1	0
CG13670	1	2	1
CG13671	1	7	2
CG31975	5	4	2
CG31974	4	5	2
CG13674	1	1	1
CG31976	5	1	1
CG13678	1	1	1
CG13679	1	1	1
eIF-3p66	4	2	2
lin-28	4	1	1
CG42392	0	1	1
CR43302	1	2	0
drk	11	19	1
drm	4	6	2
drl	3	4	2
CG3238	2	4	1
c(3)G	9	3	1
CG3588	6	24	8
CG3589	5	3	3
CG4914	1	1	1
CG42390	14	14	8
CG42720	1	1	1
CG4911	7	9	4
CR41508	3	1	1
snoRNA:Psi18S-301	0	1	0
CG2187	7	2	1
schuy	2	2	2
Myo28B1	10	6	5
CG2183	4	1	1
CG2182	8	6	5
CG42727	1	2	2
St4	3	2	1
CG1662	0	5	2
St1	2	2	2
St2	2	2	2
St3	4	4	4
Cyp4d14	3	2	2
Mgn1545	0	1	0
Obp73a	2	1	1
CG14787	0	1	1
CG14786	1	1	1
CG9759	0	1	1
CG17752	5	1	1
CG14780	2	1	1
lwr	4	5	1
CG9752	3	3	3
Glu-RI	12	1	1
cals	19	162	47
CG9757	1	2	2
mael	8	9	3
CG33346	2	3	2
CR43105	1	1	0
CG10097	7	4	3
Ac78C	28	6	4
DNApol-gamma35	1	3	1
CG10092	4	2	2
armi	9	4	4
Mgn1525	1	2	1
Nca	5	1	1
Mgn00140	4	4	0
Hsp70Bbb	0	2	1
CG10098	9	11	7
CG7759	6	2	2
endoB	8	9	4
endoA	2	10	1
CG7755	0	1	1
CG7757	3	3	3
Sfp70A4	1	4	1
CG12780	0	1	1
CG12783	7	4	4
CG12782	1	2	1
CG5190	0	1	1
CG12784	0	1	1
CG12038	4	1	1
CG12531	13	5	2
CG12788	3	2	1
CG12035	0	1	1
CG12034	1	1	1
mt:tRNA:L:CUN	0	1	0
l(1)G0045	1	1	1
CR43614	2	1	1
rin	8	30	1
Mrp4	7	1	1
cal1	1	3	1
Mes-4	4	4	1
Cbl	6	13	2
CG10321	1	2	2
CG10320	12	15	1
CG13928	0	2	1
RabX6	2	4	2
CG10324	2	2	2
RabX4	5	10	2
RabX5	5	1	1
endos	5	8	1
CG13920	2	3	1
CG13921	9	9	5
CG13926	1	1	1
CG13924	1	2	2
Mgn095166	0	1	0
snoRNA:Psi28S-1232	0	1	0
CG15539	9	4	4
sNPF-R	3	4	1
Gr33a	5	2	2
CG43059	1	1	1
tRNA:I:49Fa	0	1	0
tRNA:I:49Fb	0	1	0
tRNA:I:49Fc	0	1	0
tRNA:I:49Fd	0	1	0
tRNA:I:49Fe	0	1	0
rig	8	1	1
CG12253	2	1	1
GS	19	23	13
CG31337	2	1	1
CG12256	2	1	1
mir-7	0	1	0
CG1575	1	3	1
CG18814	3	2	2
CG1572	4	2	1
CG1571	1	1	1
CR32194	1	1	0
me31B	5	2	2
KrT95D	15	32	5
CR14033	0	4	1
l(2)06225	2	2	2
CG2983	1	1	1
CG2982	1	1	1
CG8800	2	1	1
CG8801	4	3	1
Mgn148	0	2	0
CG15530	8	12	1
Thd1	9	10	7
snoRNA:Me18S-G894	0	1	0
mRpL10	1	1	1
CG7800	0	3	2
mRpL12	1	1	1
CG6405	4	2	1
mRpL14	0	2	2
Muc55B	1	1	1
mRpL16	2	2	1
CG7806	4	2	1
mRpL18	0	1	1
mRpL19	1	1	1
CG6409	5	8	8
CG5662	0	1	1
CG5660	4	2	1
chr3L_10262358_10263528.0	0	1	0
Mgn095168	0	1	0
CG5665	3	2	2
CG5664	5	6	3
Mgn095169	0	1	0
ovo	15	372	70
CG1750	3	1	1
Alk	10	9	1
Alh	23	77	62
CG32817	3	2	1
CG11018	3	8	4
scramb1	7	6	4
Rh2	3	1	1
Rh5	2	5	3
Rh4	4	14	6
Rh7	3	1	1
Rh6	1	2	2
Mgn94094	2	4	0
Hexo2	3	4	3
PH4alphaSG1	5	1	1
kat80	10	2	2
CtBP	23	52	19
PH4alphaSG2	4	2	2
Alr	4	4	3
CG42481	0	2	1
Neu2	2	5	4
Pp2A-29B	14	16	6
wus	1	4	1
CG11444	0	2	1
crim	2	1	1
Mgn94090	1	1	0
CG40625	9	12	9
Sry-alpha	0	1	1
snoRNA:Me28S-G3253	0	1	0
wuc	2	2	1
mir-92b	0	1	0
mir-92a	0	1	0
Mgn99810	0	1	0
wun	7	5	5
CG15116	1	1	1
CG13078	1	1	1
CG13079	7	1	1
CG7295	0	1	1
CG13070	1	1	1
CG13071	1	1	1
CG13073	4	4	3
RecQ4	5	3	3
RecQ5	5	5	4
CG30369	0	1	1
CG13077	2	2	2
Ir94c	1	1	1
CG17974	3	1	1
CG17977	5	25	1
Ir94g	0	2	1
Ir94f	0	1	1
Ir94e	1	1	1
Ir94d	1	1	1
ZIP1	1	1	1
Patj	5	4	1
snoRNA:Me28S-C788a	0	1	0
snoRNA:Me28S-C788b	0	1	0
mir-927	0	1	0
CG11781	1	1	1
CG11784	2	2	1
CG11786	2	2	1
CG11788	2	1	1
l(2)k05819	11	11	7
chr2L_10710118_10710729.0	0	1	0
Cyp311a1	3	2	2
noncoding_19706	2	1	1
mir-929	0	1	0
CG8664	1	2	2
CG8665	2	2	1
CG13319	3	3	1
CG13318	3	3	1
PR2	9	6	4
CG13315	0	1	1
CG13314	4	4	1
CG8668	3	3	2
CG12620	0	1	1
CG13313	2	2	1
CG13312	1	1	1
Cpr57A	4	2	1
CG4133	9	4	4
chr3L_21168202_21168402.0	0	1	0
Hs6st	5	1	1
CanB2	4	6	3
side	23	31	9
bond	4	4	1
CG31706	1	1	1
mir-4912	0	1	0
CG31704	0	2	1
mir-4910	0	1	0
CG31702	1	1	1
CG31703	2	2	2
mir-4915	0	1	0
mir-4914	0	1	0
CG13250	2	2	2
mir-4919	0	1	0
CG8519	2	1	1
CG5986	1	2	2
CG9386	1	1	1
CG31708	11	8	2
CG31709	2	1	1
CG4053	1	2	2
CG4050	3	2	2
Plip	5	4	4
CG9380	11	3	3
CG32249	1	1	1
CG42663	10	3	3
ihog	1	4	1
CG42661	13	1	1
CG42660	13	1	1
CG17202	1	2	1
Obp83cd	2	1	1
CG42669	24	18	14
CG42668	19	403	37
epsilonTry	0	1	1
CG17209	6	1	1
Caf1	4	3	2
CG44104	0	1	1
CG4452	7	10	4
CG5880	4	1	1
CG34034	3	2	2
OdsH	3	2	1
king-tubby	6	3	2
Orct	1	5	2
CR43264	0	2	0
CG31562	2	1	1
CG31560	1	1	1
PebIII	3	2	1
Fps85D	18	8	8
Ilk	3	3	3
CR41243	0	1	1
DLP	4	13	6
CG14579	1	1	1
lig3	4	2	1
chr3R_12058427_12058979.0	0	1	0
CG31199	1	4	2
vret	5	1	1
CG14570	0	1	1
CG15312	13	36	4
CG14572	0	1	1
CG14573	0	1	1
Gl	3	4	3
Pi3K21B	4	43	4
CG12659	1	2	1
Eaat1	16	7	1
Cct2	2	2	1
mir-3644	0	1	0
Cct1	6	4	3
mir-3642	0	1	0
mir-3643	0	1	0
Cct5	3	2	2
CG18478	1	1	1
CG11093	12	3	3
CG18473	4	1	1
CG18472	4	1	1
Su(Ste):CR42432	0	1	1
CG18477	1	2	2
IM1	1	1	1
Dpck	2	1	1
mir-219	0	1	0
holn1	2	1	1
Mgn3812	5	21	4
exba	18	93	3
Su(Ste):CR42436	0	1	1
Mgn3538	0	2	0
CG14312	1	2	1
Abd-B	10	7	3
CG14314	4	1	1
CG14315	0	1	1
CG14316	1	1	1
CG14317	0	1	1
Mgn83	0	4	1
TrpA1	22	10	10
CG7231	10	9	4
CG18787	2	3	3
snoRNA:Me28S-U1130	0	1	0
CG18789	1	1	1
CG7239	1	1	1
CG1647	5	4	3
CG15756	3	2	2
CG33700	3	1	1
tRNA:CR30225	0	1	0
CG33702	1	1	1
CG33703	2	1	1
CG33704	1	1	1
CG14764	5	4	4
pncr013:4	7	35	4
CG15754	2	1	1
l(2)k09913	13	17	6
CG1316	9	3	2
CG3916	1	1	1
CG14313	1	1	1
CG3919	6	9	4
CG3918	1	2	1
Cerk	3	1	1
tRNA:CR30220	0	1	0
CG32032	4	2	2
tmod	34	732	30
dgt5	4	1	1
CG32037	4	3	2
CG32036	2	1	1
snoRNA:Psi28S-1936	0	1	0
CG32038	2	1	1
dgt4	3	6	1
tRNA:M3:70Fb	0	1	0
YL-1	3	1	1
CG12655	2	2	2
tRNA:M3:70Fa	0	1	0
snoRNA:Me28S-G3255b	0	1	0
snoRNA:Me28S-G3255a	0	1	0
CG7589	6	4	1
CG2064	7	4	2
CG2065	6	6	2
CG7587	2	1	1
CG7580	4	9	1
CG2061	2	8	1
CG7582	4	3	3
CG2063	2	1	1
Mgn952	0	1	0
Mgn953	0	1	1
Mgn950	0	1	1
Mgn775	3	23	3
Mgn956	0	1	1
Mgn957	0	1	0
Mgn954	0	1	0
Mgn955	0	1	0
CG5235	1	2	1
Mgn958	0	1	0
Mgn959	0	1	1
Scgdelta	8	4	2
CG31370	2	1	1
Cyp9b1	3	1	1
mir-969	0	1	0
